#,AACB Web Link,Name,Logo,Format,# of Student,ProgramDeliveryOptions,Website,MainCampus,Country,State,Education,Accreditation,Programs-Undergraduate,Programs-Graduate,Programs-Doctoral,ProgramFormats,VisionMission,Description
52,https://www.aacsb.edu/accredited/b/bond-university,Bond University,https://my.aacsb.edu/Portals/0/assets/images/contact/Bond%20University.png,Private,"3,381",,http://www.bond.edu.au/bus/,"Bond University
Bond Business School
University Drive, Robina
Gold Coast , Australia
04229 , Australia", Australia,,"Undergraduate,
 Master's,
 Doctoral",Business,,,,,"Building tomorrow's business leaders, one by one. To accomplish this, we: • Develop professionally, socially and cross-culturally skilled business graduates with learning outcomes focussing on analytical ability and entrepreneurial, impactful leadership through participating in a rigorous, innovative, small-class and high-engagement learning experience. • Are a national and global leader in staff performance and commitment, academic program quality and graduate satisfaction and outcomes. • Bring together students and staff to share diverse perspectives and ideas from around the world. • Generate knowledge through high-quality research that contributes to theory and practice in business disciplines and business education which also strengthens our ability to deliver our graduate outcomes. • Value quality in everything we do.","Bond Business SchoolBond Business School offers a boutique, high quality personalised learning experience where world-class academics know students by name, not by number. Drawing on our deep engagement with the business community, we aim to synergise business education and business practice, breaking down barriers between the classroom and the boardroom. Our distinctive focus on quantitative skills, global business acumen and entrepreneurial flair produces exceptional graduate outcomes for every student and positions us among the leading business schools in the world."
53,https://www.aacsb.edu/accredited/b/boston-college,Boston College,https://my.aacsb.edu/Portals/0/assets/images/contact/Boston-College.jpg,Private,"15,074",Fully Face-to-Face,http://www.bc.edu/schools/csom/,"Boston College
Wallace E. Carroll School of Management
140 Commonwealth Avenue
Fulton Hall 510
Chestnut Hill , Massachusetts
02467-3808 , United States", United States, Massachusetts,"Undergraduate,
 Master's,
 Doctoral",Business,"Accounting,
Economics,
Finance,
General Management,
Information Technology,
Marketing,
Operations Management,
Organizational Studies","Accounting,
Finance,
Generalist,
MBA/Juris Doctor (Integrated)","Accounting,
Finance,
Organizational Studies","Full-Time
Part-Time","The Carroll School of Management educates undergraduates preparing for careers in management, graduate students aspiring to greater responsibilities in a complex global economy and practitioners and executives seeking renewed vision and new skills for that economy. Vigorous teaching and learning, and research that advances business theory and enhances management practice are crucial means to these ends. Our current efforts are a partnership of students, faculty, staff, the business community, and the broader academic community. We seek and value the support and counsel of our alumni and the wider business community. We aspire to be an effective and caring organization for our immediate community, and we strive to direct all our efforts for the service of the many communities-local, national and global-which sustain us.","Academic Excellence  At the core of our student experience is a rigorous curriculum that distinctively blends innovative, challenging business courses with insights from other fields of knowledge and experience. The Carroll School is consistently ranked among the top undergraduate business schools in the country—including #3 by Bloomberg Businessweek.  World-Renowned Faculty  As teachers and scholars, Carroll School faculty members improve business practice, publish in top journals, and prepare students to flourish in their careers. Our faculty rank 13th internationally for research quality and productivity (Financial Times). Bloomberg Businessweek gave them an A+ in the classroom. This combination—the highest level teaching and research—is rarely achieved in the world of management education.  Preparation for Career Success  Eight academic centers, dedicated career services, personalized advising, resume workshops, and more give Carroll School students full access to a range of resources. The results show: 83% of the undergraduate Class of 2017 who sought employment were hired within three months of graduation, earning a median starting salary of $62,250.  A Well-Rounded Education  As part of a Jesuit Catholic university, we’re committed to the formation of the whole person—men and women with interests that extend beyond business and who continuously reflect on who they are, who they want to be, and how they want to use their talents to address the world’s needs"
54,https://www.aacsb.edu/accredited/b/boston-university,Boston University,https://my.aacsb.edu/Portals/0/assets/images/contact/Boston-University.jpeg,Private,"35,349","Blended/Hybrid
Exclusively Online
Fully Face-to-Face",http://management.bu.edu/,"Boston University
Questrom School of Business
595 Commonwealth Avenue
Boston , Massachusetts
02215 , United States", United States, Massachusetts,"Undergraduate,
 Master's,
 Doctoral",Business,"Business Administration & Management,
Management Studies","Administrative Studies,
Applied Business Analytics,
Business Administration,
Business Administration & Management,
Business Administration & Management/Digital Innovation,
Business Administration & Management/Economics,
Business Administration & Management/International Relations,
Business Administration & Management/Law,
Business Administration & Management/Manufacturing Operations Management,
Business Administration & Management/Public Health,
Business Administration & Management; Health Sector Management; Social Impact,
Business Analytics,
Enterprise Risk Management,
Financial Management,
Global Marketing Management,
Health Sector Management,
Insurance Management,
Management,
Management/Energy & Enviornment,
Mathematical Finance & Financial Technology,
Project Management,
Supply Chain Management","Business Administration & Management,
Mathematical Finance & Financial Technology","1 Year
Evenings and Weekends
Full-Time
Part-Time","We prepare innovative and ethical leaders who understand the impact of business on society and create value for the world. Our students comprehend organizational systems, the vital role of leadership, and the forces transforming the global economy. We generate scholarly knowledge and insights that advance management practice through our research, teaching, and community engagement.","At Questrom, we focus on delivering exceptional outcomes inside and outside the classroom.   Our faculty includes distinguished scholars, dynamic teachers, and seasoned real-world practitioners from the world of business. Our curricula are rigorous and demanding, as you put your intellectual, interpersonal, and decision-making skills to the test. Our students are from all over the world, bringing diverse educational and cultural backgrounds and work experiences.  Our mission is to prepare innovative and ethical leaders who understand the impact of business on society and who create value for the world. Undergraduate and graduate students at Questrom encounter ethics in business throughout their curriculum from day one. Just as we provide our students with the skills needed to thrive in marketing, finance, and all key management disciplines, we provide ethical frameworks—the tools needed to recognize and consider the ethical dimensions of decisions—that lead to making informed judgments.  The role of business builders and leaders is to create value—generating an appropriate financial return on investment and, at the same time, we seek to improve the lives of others. Successful organizations with strong leaders are a boon to their communities."
55,https://www.aacsb.edu/accredited/b/bournemouth-university,Bournemouth University,https://my.aacsb.edu/Portals/0/assets/images/contact/Bournemouth-University.png,Public,"16,797",,https://www.bournemouth.ac.uk/about/our-faculties/bournemouth-university-business-school,"Bournemouth University
Business School
Executive Business Centre
89 Holdenhurst Road
Bournemouth, Dorset , United Kingdom
BH8 8EB , United Kingdom", United Kingdom,,"Undergraduate,
 Master's,
 Doctoral",Business,,,,,"We are a globally accredited business school that inspires people and organisations to grow in a responsible and empathetic way through a fusion of innovative education, research and practice. We make a difference.","The world of business is a cut-throat, dog-eat-dog world where profits come before people, and the strongest survive at the expense of the weakest, right? Wrong. At Bournemouth University Business School, we believe that to become a good businessperson, you need to be a good person first. That’s why we foster an atmosphere of collaboration and togetherness, where everyone’s contribution is listened to and knowledge is co-created between staff, students and the organisations we work with. It’s also why responsibility, ethics and sustainability are embedded into all of our courses. In an increasingly connected world if you want to make a difference, you need to make the right connections first.
We think these values matter at all levels, whether you’re a student, an entrepreneur just setting out in the world, the CEO of a FTSE 100 company, or just looking to help the family business run more efficiently. It’s not just something we say. It’s something we are. We believe that people make business, and that by treating everyone with respect and empathy, we can learn to make better decisions together. That applies to all the activities we undertake – whether it’s lectures and seminars for students, the world-leading research we carry out, or the way we collaborate with some of the biggest names in the business as we influence professional practice. 
We make a difference."
56,https://www.aacsb.edu/accredited/b/bowling-green-state-university,Bowling Green State University,https://my.aacsb.edu/Portals/0/assets/images/contact/bowling-green-state-u.png,Public,"17,311","Blended/Hybrid
Exclusively Online
Fully Face-to-Face
Multi-Modal",http://www.bgsu.edu/business.html,"Bowling Green State University
Allen W. and Carol M. Schmidthorst College of Business
239 Robert W. and Patricia A. Maurer Center
Bowling Green , Ohio
43403-0260 , United States", United States, Ohio,"Undergraduate,
 Master's,
 Doctoral",Business & Accounting,"Accounting,
Applied Economics,
Business Analytics and Intelligence,
Economics,
Finance,
Individualized Business,
Information Systems,
Information Systems Auditing and Control,
Insurance,
International Business,
Management,
Marketing,
Sales and Services Marketing,
Supply Chain Management","Accounting,
Business Administration,
EMBA,
Finance,
Organization Development (EMOD),
Quality Systems,
Strategic Communication,
Supply Chain Management",Organization Development,"1 Year
Evenings and Weekends
Full-Time
Off Campus
Part-Time","Vision: Our vision is to transform lives through excellence and innovation in business education, impactful research, and meaningful service. Mission: We educate and develop business professionals through a student-centric approach, create impactful research, and serve our local, national, and global communities.  We value: • High ethical standards  • Continuous improvement • Personalized, interactive environments for learning • Innovative and effective pedagogy • Diverse, inclusive, and global perspectives • Effective communication • Creative and critical thinking • Collaboration and teamwork • Academic and career success of students • Student engagement in curricular and co-curricular activities • Meaningful research for scholars and practitioners  • Relevant and up-to-date scholarship in the classroom • Faculty and student engagement with the business community • Enhanced career prospects for the workforce •  Involvement of alumni, employers, and friends in supporting the vision and mission","The College of Business was ranked by Poets & Quants among the Top undergraduate business programs in the country and among the Top 30 public institutions in 2020. College of business students experience one of the most unique and innovative business programs in the country. We practice Going Beyond Business As Usual! Our students, alumni, faculty and programs are recognized throughout the world. Our alumni have successful careers with Fortune 500 companies, have launched their own business and are leading companies worldwide. Our curriculum incorporates innovation and experiential learning. The Hatch, a unique business idea pitching program similar in format to the television show Shark Tank, was touted as a best in class practice and is gaining an international reputation. Our award-winning faculty are recognized as experts in their fields. Students graduate with real-world knowledge of the global marketplace through interactive learning programs and internships, making graduates highly marketable to employers across the country. Sixty percent of our students have jobs at graduation with an average annual salary of $54, 773 higher than the national average of $53,912! Our Business Career Accelerator is designed to provide career planning, improve job search skills, and help students find both an internship and job. Housed within the College, the Career Accelerator has connections with more than 2,000 companies. In addition to high academic standards, we help students grow professionally and personally through programs geared toward developing professional business skills such as networking, dressing for success, dining etiquette, golf and business travel."
57,https://www.aacsb.edu/accredited/b/bradley-university,Bradley University,https://my.aacsb.edu/Portals/0/assets/images/contact/bradley-university_foster-college.jpg,Private,"5,588",Fully Face-to-Face,http://www.bradley.edu/academic/colleges/fcba/,"Bradley University
Foster College of Business
1501 West Bradley Avenue
Peoria , Illinois
61625 , United States", United States, Illinois,"Undergraduate,
 Master's",Business & Accounting,"Accounting,
Actuarial Science,
Business Analytics,
Cybersecurity,
Economics,
Entrepreneurship,
Finance,
International Business,
Management,
Management & Administration,
Marketing,
MIS","Accounting,
Business Analytics,
Leadership,
Management",,"Evenings and Weekends
Full-Time
Part-Time","Through close interaction and experiential learning, we empower individuals and organizations to achieve great outcomes.","Bradley’s Foster College of Business provides the ability to develop close and impactful relationships with faculty and business partners, offers experiential learning opportunities that develop leaders who will enrich the world, and consistently produces great career outcomes."
58,https://www.aacsb.edu/accredited/b/brandeis-university,Brandeis University,https://my.aacsb.edu/Portals/0/assets/images/contact/Brandeis%20University.png,Private,"5,485","Blended/Hybrid
Fully Face-to-Face
Multi-Modal",http://www.brandeis.edu/aacsb,"Brandeis University
International Business School
415 South Street
MS 032
Waltham , Massachusetts
02454-9110 , United States", United States, Massachusetts,"Undergraduate,
 Master's,
 Doctoral",Business,General Business,"Business Analytics,
Finance,
Global Business,
Global Finance & Economics,
Healthcare Management for Physicians,
Managing for a social mission",International Economics & Finance,"Full-Time
Partnership
Part-Time",,"By teaching rigorous business, finance and economics, connecting students to best practices and immersing them in international experiences, Brandeis International Business School prepares exceptional individuals from around the globe to become principled professionals in companies and public institutions worldwide.  The International Business School has a worldwide reputation for academic excellence, offering five graduate programs, two accelerated graduate programs, six dual-degree programs and undergraduate majors and minors in business and economics.  The school is part of Brandeis University, a medium-sized private research university with global reach located a short drive from Boston, Massachusetts. The university was established as a nonsectarian institution with inclusivity as one of its founding principles. Brandeis is distinguished by its values of rigorous learning, critical thinking and bettering the world on an individual level, all of which are rooted in Jewish history and culture.  Our mission at Brandeis International Business School is to prepare technologically sophisticated global leaders in business, economics and finance, and to produce path-breaking research that advances understanding, efficiency and justice within the business community."
59,https://www.aacsb.edu/accredited/b/brest-business-school,Brest Business School,https://my.aacsb.edu/Portals/0/assets/images/contact/Brest%20Business%20School.png,Private,"2,579","Blended/Hybrid
Fully Face-to-Face
Primarily Online",http://www.brest-bs.com/,"Brest Business School
ECS Force Ouest
2 Avenue de Provence
Brest , France
29800 , France", France,,"Undergraduate,
 Master's,
 Doctoral",Business,"E-Business,
International Management","Digital Operations and Management,
Financial Management,
General Business,
International Business,
International Management,
Logistics,
Management Control,
Master in Marketing Management,
Master of Business Administration,
Professional Data Science and Education Management,
Psychology and Management",Doctorate of Business Administration,"Full-Time
Part-Time",,
60,https://www.aacsb.edu/accredited/b/brigham-young-university,Brigham Young University,https://my.aacsb.edu/Portals/0/assets/images/contact/Brigham%20Young%20University.png,Private,"36,024",,https://marriottschool.byu.edu/,"Brigham Young University
730 Tnrb
150 East 1230 North
150 East 1230 North
Provo , Utah
84602-5803 , United States", United States, Utah,"Undergraduate,
 Master's",Business & Accounting,,,,,"Education: Attract, develop, place, and continue to engage men and women of faith, character, and professional ability who will become outstanding leaders and positively influence a world we wish to improve. Scholarship: Advance knowledge using strong conceptual and spiritual foundations to identify and solve management problems. Service: Serve in academic, professional, and civic organizations, extending the benefits of management education and scholarship to the university, to members of The Church of Jesus Christ of Latter-day Saints, and to the world.","The BYU Marriott School of Business Mission Statement  Attract, develop, place, and continue to engage men and women of faith, character, and professional ability who will become outstanding leaders and positively influence a world we wish to improve.  Advance knowledge using strong conceptual and spiritual foundations to identify and solve management problems.  Serve in academic, professional, and civic organizations, extending the benefits of management education and scholarship to the university, to members of The Church of Jesus Christ of Latter-day Saints, and to the world."
61,https://www.aacsb.edu/accredited/b/brock-university,Brock University,https://my.aacsb.edu/Portals/0/assets/images/contact/Brock-University.png,Public,"19,352",Fully Face-to-Face,http://brocku.ca/business/,"Brock University
Goodman School of Business
1812 Sir Isaac Brock Way
Saint Catharines , Canada
L2S 3A1 , Canada", Canada,,"Undergraduate,
 Master's",Business,"Accounting,
Business & Management,
Business Administration","Accounting,
Business & Management,
Business Administration,
Management",,"Full-Time
Partnership
Part-Time","Goodman is a globally oriented and community dedicated business school that engages and challenges through scholarly initiatives, education and practice.","The Goodman School of Business, named for respected business leader Ned Goodman, is AACSB accredited and offers graduate and undergraduate programs in business and accounting. Goodman is a collaborative environment and home to many celebrated faculty members who are both innovative researchers and exemplary teachers, two of whom were recently identified with only four Canadian researchers in business and management education as among the 99 most productive around the world.  Under renewed leadership at both the presidential and decanal levels, Brock and the Goodman School of Business are committed to building the scope and reach of the School with expansion of existing university and business relationships at the local, national and global levels. Already a national leader in experiential learning, Goodman facilitates service-learning programs and international co-op placements, preparing our students for successful careers around the world. With expected completion in 2018 of an expanded and re-vitalized building, Goodman School will now offer a new state-of-the-art learning environment. Like many business schools around the world, Goodman has had rapidly adapt to an online environment to cope with the COVID-19 pandemic. The year 2020 has brought fundamental transformations to the way Goodman operates. While Goodman faculty, staff and students look forward to moving back to our renewed facility, Goodman is also looking to bring the new ways of teaching, working and learning with us to continue offering a high quality business education for a transforming world."
62,https://www.aacsb.edu/accredited/b/brooklyn-college-of-the-city-university-of-new-york,Brooklyn College of the City University of New York,https://my.aacsb.edu/Portals/0/assets/images/contact/Brooklyn%20College%20of%20the%20City%20University%20of%20New%20York.jpg,Public,"14,939","Blended/Hybrid
Fully Face-to-Face
Multi-Modal",http://www.brooklyn.cuny.edu/,"Brooklyn College of the City University of New York
The Koppelman School of Business
2900 Bedford Avenue
2900 Bedford Avenue
Brooklyn , New York
11210 , United States", United States, New York,"Undergraduate,
 Master's",Business,"Accounting,
Finance,
Management","Accounting,
Management",,"Full-Time
Part-Time","The Koppelman School of Business offers a transformative, quality, and affordable business education to students from a diverse social, economic, and ethnic background through innovative curricula, applied research, and impactful engagement.",
63,https://www.aacsb.edu/accredited/b/brunel-business-school-brunel-university-london,"Brunel Business School, Brunel University London",https://my.aacsb.edu/Portals/0/assets/images/contact/Brunel%20Business%20School.jpg,Public,"15,360","Blended/Hybrid
Primarily Online",http://www.brunel.ac.uk/bbs,"Brunel Business School, Brunel University London
Eastern Gateway Building, Kingston Lane
Uxbridge, Middlesex , United Kingdom
UB8 3PH , United Kingdom", United Kingdom,,"Undergraduate,
 Master's,
 Doctoral",Business,"Entrepreneurship/Small Business Admin,
HR Mgt - incl Personnel & Ind/Labor Relations,
International Business,
Management","Computer or Management Information Systems,
HR Mgt - incl Personnel & Ind/Labor Relations,
International Business,
Management,
Marketing,
Supply Chain/Transport Logistics",Management,"Full-Time
Part-Time","Brunel Business School contributes to local and global businesses with the advancement and dissemination of management knowledge and business practice through our world-class research. We are committed to providing outstanding teaching quality, educating students by using actionable research and evidence-based teaching so that they become self-fulfilled, entrepreneurial global business leaders. Our synergistic relationship with business allows students to experience real, often challenging business environments. This prepares them to undertake high-value placements and internships, encouraging the development of innovative and entrepreneurial skills, and preparing them for their future. We are proud of our supportive and empowering learning environment. Our pastoral care is second to none, fostering mutual understanding amongst students and staff with a collaborative and open working culture. Our inclusive staff and student body encourages social responsibility and brings dynamic and diverse perspectives. In line with our values, we deliver our vision and execute our mission by being: • Sustainable • Creative and curious • Engaged with the World BBS strives to work towards an ethically sustainable world and the school encourages exploration, creativity, challenge and original thought. In line with our values, BBS is outward-facing and responsive to what is happening in the world, with an approach that is open and honest, determined, fair, inclusive and focused on excellence.","Brunel Business School (BBS), created in 2004, is one of the largest academic departments in Brunel University London. In  2018/19 13,960 and 2019/20 15,112 students enrolled on undergraduate, postgraduate and research degree programmes. It is also home to six internationally recognized Research Centres led by an experienced academics. In 2013 BBS won the UK Business School of the Year Award by the Times Higher Education BBS performance in the 2014 Research Excellence Framework (REF 2014) placed it 20th out of 101 business schools in the UK. In 2020 the BBS MBA programme was re-accredited for a sixth successive time by the Association of MBAs (AMBA), receiving the maximum 5 year term aswell as being awarded the Small Business Charter Award for the first time March 2020. The Award recognises excellence in supporting small businesses, student enterprise, and the local economy . In addition, BBS performance in the National Student Survey (NSS2014) ranked it 3rd in London and joint 24th (out of 101) for student satisfaction within the UK.The mission of BBS is “To be a research intensive school that seeks to make a substantial contribution to the body of business and management knowledge, which informs a diverse programme of study leading to employable global citizens – to help people to work together better”. The diverse and international nature of our student and faculty helps to create an environment of knowledge transfer and cross-cultural awareness where our mission is reflective of the University - seeking to prepare well qualified employable global graduates. BBS is committed to continual enhancements within all its activities both nationally and internationally with a critical adherence to ensuring sustainable and positive learning."
64,https://www.aacsb.edu/accredited/b/bryant-university,Bryant University,https://my.aacsb.edu/Portals/0/assets/images/contact/Bryant-University.png,Private,"3,438","Exclusively Online
Fully Face-to-Face",http://www.bryant.edu/,"Bryant University
School of Business
1150 Douglas Pike
Smithfield , Rhode Island
02917-1284 , United States", United States, Rhode Island,"Undergraduate,
 Master's",Business,"Accounting,
Data Science,
Digital Marketing,
Entrepreneurship,
Finance,
Financial Services,
Global Supply Chain Management,
Human Resource Management,
Information Systems,
International Business,
Leadership and Innovation,
Management,
Managerial Accounting and Finance,
Marketing,
Team and Project Management","Accounting,
Business Analytics,
General Management,
Global Finance,
Global Supply Chain Management,
Innovative Healthcare Leadership,
International Business,
Leadership",,"1 Year
Evenings and Weekends
Full-Time
Part-Time","College of Business Mission Statement We prepare socially responsible thinkers, leaders, and innovators for successful professional careers within the global business community. Our strategic priorities are informed by the following statements that serve to amplify our mission and values: We prepare thinkers by offering a broad and multidisciplinary knowledge base, with in-depth content in one or more specific business disciplines. The business degree experience is focused on the application of foundational theory in business settings. In addition, we develop students’ critical-thinking skills and ability to grapple with problems at a systemic level. - We prepare leaders by cultivating the development of interpersonal skills and character. The curriculum provides students with numerous opportunities to learn about and practice leadership and collaboration skills, in small and large group settings, and with for-profit and non-profit organizations. In addition, students are encouraged to avail themselves of the many opportunities for exposure to global, socio-economic, and cultural perspectives; to develop mentoring relationships with faculty; and to mentor fellow students as opportunities arise. - We prepare innovators by presenting students with challenging business issues that allow them to apply their skills to real problems. The curriculum offers opportunities for students to develop creative business solutions, providing them with the necessary tools to successfully adapt to changes in the global business environment.","Bryant University, founded in 1863, is a selective university that offers nationally ranked, distinctive business programs. Bryant’s multidisciplinary curriculum, which integrates business and the liberal arts, offers real-world experiences for students who also graduate with global perspectives. The College of Business offers undergraduate and graduate degrees, as well as executive development programs. The University’s residential campus is 15 minutes northwest of Providence, one hour from Boston, and three hours from New York City. Our programs are distinguished by our innovative curriculum. All majors infuse business with the liberal arts. And with our emphasis on experiential learning, students work on real-world projects in all four years of their studies. Bryant provides an immersive experience. Our programs help build connections across campus and within the Bryant community of classmates and alumni and through mentorships with world-class experts and inspiring faculty. Bryant emphasizes integrative learning through cutting edge pedagogical methods such as case studies, consulting projects, practicum projects and simulations that cultivate leadership and teamwork across functional disciplines. Bryant is known for international studies. Students have opportunities to gather global perspectives from our customized study abroad options to our international internships that foster a global mindset and develop skills that transcend borders. Bryant University’s emergence as a leader in international education is reflected in MBA specializations such as, global supply chain management (GSCM), global finance and international business including a study-abroad component. Our programs have been accredited by AACSB International-The Association to Advance Collegiate Schools of Business since 1994. The University also is a member of CUIBE, a consortium of nationally recognized international business programs."
65,https://www.aacsb.edu/accredited/b/bucknell-university,Bucknell University,https://my.aacsb.edu/Portals/0/assets/images/contact/Bucknell%20University.jpg,Private,"3,787",Fully Face-to-Face,https://www.bucknell.edu/academics/freeman-college-management,"Bucknell University
Freeman College of Management
1 Dent Drive
Lewisburg , Pennsylvania
17837 , United States", United States, Pennsylvania,Undergraduate,Business,"Accounting,
Business Analytics,
Financial Management,
Management and Organizations,
Management for Engineers,
Markets, Innovation & Design",,,Full-Time,"The Freeman College of Management at Bucknell University integrates professional and liberal undergraduate education. Our college brings together a highly selective student body and a faculty of engaged teacher-scholars with unique and diverse perspectives. We work collaboratively, as a learning community, to understand organizations, analyze them rigorously, and devise creative and morally responsible solutions to the challenges they face. Having benefited from an innovative curriculum, our graduates possess strong technical skills as well as the judgment, vision, and integrity necessary to serve society and their professions.","The Freeman College of Management at Bucknell University integrates professional and liberal undergraduate education. Our College brings together a highly selective student body and a faculty of engaged teacher-scholars with unique and diverse perspectives. We work collaboratively, as a learning community, to understand organizations, analyze them rigorously, and devise creative and morally responsible solutions to the challenges they face. Having benefited from an innovative curriculum, our graduates possess strong technical skills as well as the judgment, vision, and integrity necessary to serve society and their professions."
66,https://www.aacsb.edu/accredited/b/burgundy-school-of-business,Burgundy School of Business,https://my.aacsb.edu/Portals/0/assets/images/contact/Burgundy%20School%20of%20Business.png,Public,"3,214",Fully Face-to-Face,https://www.bsb-education.com/,"Burgundy School of Business
29 rue Sambin - BP 50608
Dijon Cedex , France
21006 , France", France,,"Undergraduate,
 Master's",Business,Commerce,"Artificial Intelligence & Digital Technology Management,
Arts and Cultural Management,
Business Administration,
Corporate Finance,
Cultural Organizations,
Finance,
Green Tech & Sustainable Societies,
Management,
Marketing & Trade,
Organizational Behavior,
Wine Business,
Wine Management",,"1 Year
Full-Time
Part-Time","The School's mission is to provide current and future managers with high quality education supported by research activities, and to contribute to the development of the region's economy. Our management education programs are entrepreneurial and internationally focused, allowing students to acquire professional expertise integrating the needs of the business world and corporate social responsibility.","Founded in 1899, Burgundy School of Business is a leading teaching and research school belonging to the network of top French academic institutions in management. The School's mission is to provide current and future managers with high quality education supported by research activities, and to contribute to the development of the region's economy. With a deep commitment to the values of entrepreneurial mind-set and teamwork, integrity, impact, diversity and close interaction, its management education programs are entrepreneurial and internationally focused, allowing students to acquire professional expertise integrating the needs of the business world and corporate social responsibility. On the strength of its illustrious history, its values and its organization, and thanks to the support of its stakeholders, Burgundy School of Business has set itself among the top French management schools."
67,https://www.aacsb.edu/accredited/b/business-college-beijing-union-university,Business College of Beijing Union University,https://my.aacsb.edu/Portals/0/assets/images/contact/BCBUU%20logo.png,Public,,,https://englishbc.buu.edu.cn/,"Business College of Beijing Union University
A3, Yanjingdongli
Chaoyang
Beijing , China (Mainland)
100025 , China (Mainland)", China (Mainland),,Undergraduate,Business,,,,,,
68,https://www.aacsb.edu/accredited/b/business-school-central-university-of-finance-and-economics,"Business School, Central University of Finance and Economics",https://my.aacsb.edu/Portals/0/assets/images/contact/Business%20School%20Central%20University%20of%20Finance%20and%20Economics.png,Public,,,http://bs.cufe.edu.cn/,"Business School, Central University of Finance and Economics
39 South Xueyuan Road
Haidian District , China (Mainland)
100081 , China (Mainland)", China (Mainland),,"Undergraduate,
 Master's,
 Doctoral",Business,,,,,,
69,https://www.aacsb.edu/members/non-accredited-educational/b/business-school-hunan-university,"Business School, Hunan University",https://my.aacsb.edu/Portals/0/assets/images/contact/hunan-university-business-school.jpg,Public,,,http://www.hnu.edu.cn/,"Business School, Hunan University
Changsha , China (Mainland)
410082 , China (Mainland)", China (Mainland),,"Undergraduate,
 Master's,
 Doctoral",Business,,,,,,
70,https://www.aacsb.edu/members/non-accredited-educational/b/business-school-pontifcia-universidade-catlica-do-paran,"Business School, Pontifícia Universidade Católica do Paraná",https://my.aacsb.edu/Portals/0/assets/images/contact/BSPUCPR_Logo.png,Private,"17,975","Blended/Hybrid
Fully Face-to-Face
Primarily Online",http://www.pucpr.br/,"Business School, Pontifícia Universidade Católica do Paraná
Imaculada Conceicao
Curitiba - Parana , Brazil
80215-901 , Brazil", Brazil,,"Undergraduate,
 Master's,
 Doctoral",Business,"Economic decisions on national and global markets dynamics,,
Entrepreneurship and Innovation,
Financial Statements, Control Systems; Investigation and Systemic Performance,
Innovation and Strategic View,
International Transactions; International Articulation,
Market Strategies and Brand Relationship,
Systematic Investigation & Performance,
Transformational Leadership","Co-operative Strategic Management, Socio Economics Dynamics of Co-operative,
Marketing, Organizational Strategy, Finance","Marketing, Organizational Strategy, Finance","Full-Time
Part-Time",,
71,https://www.aacsb.edu/accredited/u/uibe-business-school-university-of-international-business-and-economics,"Business School, University of International Business and Economics",https://my.aacsb.edu/Portals/0/assets/images/contact/UIBE%20Business%20School.png,Public,"17,162",Fully Face-to-Face,http://bs.uibe.edu.cn/,"Business School, University of International Business and Economics
Mail Box 123, No. 10 Huixin Dongjie
Chaoyang District , China (Mainland)
100029 , China (Mainland)", China (Mainland),,"Undergraduate,
 Master's,
 Doctoral",Business,"Accounting,
Business Administration,
Business Administration (NEOMA Business School),
Business Administration (Reutlingen University),
Financial Management,
Human Resource Management,
Marketing","Accounting,
EMBA,
Enterprise Management,
IMBA,
Innovation and Entrepreneurship,
MAud,
MBA,
MPAcc,
Technological Economics and Management","Accounting,
Enterprise Management,
Technological Economics and Management","Full-Time
Partnership
Part-Time",We commit to contributing to management knowledge and serving the community; we aim to attract excellent students and generate business elites who bear social responsibility and master international practices.,"UIBEBS was founded in 1982 and now is the second largest school among 17 schools on the UIBE campus which is located close to CBD area in Beijing, the capital of China. So far the School has been one of seven business schools which got AACSB, EQUIS and AMBA accreditations in mainland China. With its higher quality and reputation, UIBEBS is honored to provide degree programs including Undergraduate, Specialized Master's, MBA, EMBA, IMBA, MPAcc, MAud, and Doctoral for national and international students. By the end of 2020, UIBEBS has 108 full-time and 22 part-time faculties, 57 professional staff, 2184 full-time and 720 part-time students. Of the total number, 455 are international students. Internationalization is in UIBE's DNA, as well as in the nature of Business School. We welcome students from all over the world to learn the business model, to explore the amazing culture, to experient the wondeful sceneries in Beijing, China."
72,https://www.aacsb.edu/accredited/b/butler-university,Butler University,https://my.aacsb.edu/Portals/0/assets/images/contact/Butler%20University.png,Private,"5,451","Fully Face-to-Face
Primarily Online",http://www.butler.edu/lacyschool,"Butler University
Andre B. Lacy School of Business
Butler University
4600 Sunset Ave
Indianapolis , Indiana
46208-3487 , United States", United States, Indiana,"Undergraduate,
 Master's",Business,"Accounting,
Economics,
Entrepreneurship,
Finance,
International Business,
Management Information Systems,
Marketing,
Risk Management","Accounting,
Business Administration,
Insurance,
Management",,"Evenings and Weekends
Full-Time
Part-Time",The mission of the Andre B. Lacy School of Business is to prepare learners for success in life and leadership in business through experiential learning guided by a Faculty who's research provides impactful thought leadership and with relevant business experience.,"Butler University's Lacy School of Business equips its graduates with the skills and knowledge to sharpen their competitive edge.  In the Lacy School of Business, we believe that academic rigor is most effective when paired with lessons from the real world. You'll be immersed in actual business settings from your first days on campus. You won't just be prepared for success. By the time you graduate, you'll have already achieved it."
